,master_id,order_channel,last_order_channel,first_order_date,last_order_date,last_order_date_online,last_order_date_offline,order_num_total_ever_online,order_num_total_ever_offline,customer_value_total_ever_offline,customer_value_total_ever_online,interested_in_categories_12_x,total_of_purchases,total_expenditure,Recency,Frequency,MonetaryValue,RecencyScore,FrequencyScore,MonetaryScore,RFM_Score,Value Segment,RFM Customer Segments,interested_in_categories_12_y
10,1a9b39d8-40ac-11ea-9be8-000d3a38a36f,Android App,Android App,2019-11-17,2020-05-31,2020-05-31,2019-11-17,1.0,1,119.98,99.99,[KADIN],2.0,219.97,1195,1,219.97,2,3,1,6,Low-Value,Potential Loyalists,[KADIN]
11,4fbb0cbe-9085-11ea-af25-000d3a38a36f,Android App,Offline,2020-11-05,2021-01-29,2020-11-05,2021-01-29,1.0,1,172.97,69.48,"[COCUK, KADIN]",2.0,242.45,952,1,242.45,3,3,1,7,Low-Value,Potential Loyalists,"[COCUK, KADIN]"
12,6ff327d4-b0e1-11e9-9757-000d3a38a36f,Android App,Offline,2020-04-02,2021-01-19,2020-10-23,2021-01-19,1.0,2,243.46,103.99,[KADIN],3.0,347.45,962,1,347.45,3,3,1,7,Low-Value,Potential Loyalists,[KADIN]
13,7e7732ae-2d78-11eb-8062-000d3a299ebf,Mobile,Offline,2020-11-23,2021-06-04,2020-11-23,2021-06-04,1.0,1,303.94,228.37,"[ERKEK, KADIN, AKTIFSPOR]",2.0,532.31,826,1,532.31,4,3,1,8,Mid-Value,Potential Loyalists,"[ERKEK, KADIN, AKTIFSPOR]"
14,c864868a-5134-11ea-99ba-000d3a38a36f,Android App,Android App,2019-06-10,2020-09-29,2020-09-29,2019-06-10,2.0,1,179.99,346.96,"[COCUK, KADIN]",3.0,526.95,1074,1,526.95,2,3,1,6,Low-Value,Potential Loyalists,"[COCUK, KADIN]"
15,fb840306-1219-11ea-a001-000d3a38a36f,Ios App,Ios App,2020-01-18,2021-05-02,2021-05-02,2020-01-18,7.0,1,89.99,833.65,"[ERKEK, KADIN, AKTIFSPOR]",8.0,923.64,859,1,923.64,4,3,1,8,Mid-Value,Potential Loyalists,"[ERKEK, KADIN, AKTIFSPOR]"
16,1acf7870-87af-11ea-ace9-000d3a38a36f,Ios App,Offline,2020-04-26,2021-02-18,2020-04-26,2021-02-18,1.0,1,160.97,137.12,"[ERKEK, KADIN]",2.0,298.09000000000003,932,1,298.09000000000003,3,3,1,7,Low-Value,Potential Loyalists,"[ERKEK, KADIN]"
17,196e721a-d6d9-11e9-93bc-000d3a38a36f,Mobile,Mobile,2019-02-09,2020-11-08,2020-11-08,2019-02-09,1.0,1,39.99,89.99,[KADIN],2.0,129.98,1034,1,129.98,3,3,1,7,Low-Value,Potential Loyalists,[KADIN]
18,80c89c7a-d6dd-11e9-93bc-000d3a38a36f,Mobile,Offline,2019-02-09,2021-01-21,2019-02-09,2021-01-21,1.0,1,169.99,170.91,[KADIN],2.0,340.9,960,1,340.9,3,3,1,7,Low-Value,Potential Loyalists,[KADIN]
19,6e47c6c2-4f49-11ea-99ba-000d3a38a36f,Android App,Android App,2019-04-12,2020-11-26,2020-11-26,2019-04-12,5.0,1,99.99,999.9,"[KADIN, AKTIFSPOR]",6.0,1099.8899999999999,1016,1,1099.8899999999999,3,3,1,7,Low-Value,Potential Loyalists,"[KADIN, AKTIFSPOR]"
20,45b1d028-1da7-11ea-8bf2-000d3a38a36f,Desktop,Desktop,2019-06-30,2020-08-26,2020-08-26,2019-06-30,1.0,1,89.99,185.47,[KADIN],2.0,275.46,1108,1,275.46,2,3,1,6,Low-Value,Potential Loyalists,[KADIN]
21,09797cba-5b4a-11ea-8975-000d3a38a36f,Mobile,Mobile,2019-12-26,2021-04-27,2021-04-27,2019-12-26,3.0,1,119.99,749.94,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]",4.0,869.9300000000001,864,1,869.9300000000001,4,3,1,8,Mid-Value,Potential Loyalists,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]"
22,e7fa4114-e7cc-11e9-8bb8-000d3a38a36f,Android App,Offline,2020-12-05,2020-12-08,2020-05-16,2020-12-08,5.0,1,79.99,324.94,[KADIN],6.0,404.93,1004,1,404.93,3,3,1,7,Low-Value,Potential Loyalists,[KADIN]
23,12f0df54-accc-11e9-a2fc-000d3a38a36f,Android App,Android App,2021-04-21,2021-04-21,2021-04-21,2021-04-21,1.0,1,458.95,287.99,"[KADIN, AKTIFSPOR]",2.0,746.94,870,1,746.94,4,3,1,8,Mid-Value,Potential Loyalists,"[KADIN, AKTIFSPOR]"
24,a0133918-1d60-11ea-a490-000d3a38a36f,Android App,Offline,2019-08-19,2020-06-10,2020-12-09,2020-06-10,1.0,3,141.7,59.99,[KADIN],4.0,201.69,1185,1,201.69,2,3,1,6,Low-Value,Potential Loyalists,[KADIN]
25,15fa60d6-9eb1-11e9-9897-000d3a38a36f,Mobile,Offline,2016-03-17,2021-02-02,2016-03-17,2021-02-02,1.0,3,320.85,43.19,"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]",4.0,364.04,948,1,364.04,3,3,1,7,Low-Value,Potential Loyalists,"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]"
26,3af86bfe-5459-11ea-b1db-000d3a38a36f,Android App,Android App,2019-12-25,2020-09-17,2020-09-17,2019-12-25,3.0,1,149.99,1301.56,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]",4.0,1451.55,1086,1,1451.55,2,3,1,6,Low-Value,Potential Loyalists,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]"
27,6fcc04d0-3050-11ea-bb28-000d3a38a36f,Mobile,Offline,2019-11-17,2020-10-19,2020-06-30,2020-10-19,4.0,2,271.46,533.94,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]",6.0,805.4000000000001,1054,1,805.4000000000001,3,3,1,7,Low-Value,Potential Loyalists,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]"
28,8423eda8-ae37-11e9-a2fc-000d3a38a36f,Android App,Offline,2018-10-19,2021-05-20,2018-10-19,2021-05-20,1.0,4,1075.39,205.97,"[ERKEK, KADIN, AKTIFSPOR]",5.0,1281.3600000000001,841,1,1281.3600000000001,4,3,1,8,Mid-Value,Potential Loyalists,"[ERKEK, KADIN, AKTIFSPOR]"
29,7d58deb6-62fa-11ea-a6dc-000d3a38a36f,Mobile,Mobile,2016-06-14,2020-11-23,2020-11-23,2019-11-16,7.0,1,139.99,1231.46,"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]",8.0,1371.45,1019,1,1371.45,3,3,1,7,Low-Value,Potential Loyalists,"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]"
30,45beaf52-add9-11e9-a2fc-000d3a38a36f,Android App,Android App,2019-12-14,2021-03-05,2021-03-05,2019-12-14,6.0,1,139.98,650.89,"[AKTIFCOCUK, KADIN]",7.0,790.87,917,1,790.87,4,3,1,8,Mid-Value,Potential Loyalists,"[AKTIFCOCUK, KADIN]"
31,b4f0a6e6-ae60-11e9-a2fc-000d3a38a36f,Android App,Offline,2018-10-25,2021-05-26,2019-04-09,2021-05-26,3.0,10,1350.49,282.96,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]",13.0,1633.45,835,1,1633.45,4,3,1,8,Mid-Value,Potential Loyalists,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
32,af28d808-9750-11ea-a9c8-000d3a38a36f,Android App,Offline,2019-11-17,2020-12-23,2020-11-05,2020-12-23,1.0,2,190.48,359.9,[KADIN],3.0,550.38,989,1,550.38,3,3,1,7,Low-Value,Potential Loyalists,[KADIN]
33,7bb4c782-a450-11e9-a2fc-000d3a38a36f,Android App,Offline,2019-04-20,2021-03-15,2021-09-03,2021-03-15,8.5,4,459.92,676.88,"[AKTIFCOCUK, ERKEK, COCUK, KADIN]",12.5,1136.8,907,1,1136.8,4,3,1,8,Mid-Value,Potential Loyalists,"[AKTIFCOCUK, ERKEK, COCUK, KADIN]"
34,4a1ecbbc-5271-11ea-956d-000d3a38a36f,Mobile,Offline,2020-07-01,2020-11-18,2020-01-21,2020-11-18,1.0,3,254.96,189.99,"[KADIN, AKTIFSPOR]",4.0,444.95000000000005,1024,1,444.95000000000005,3,3,1,7,Low-Value,Potential Loyalists,"[KADIN, AKTIFSPOR]"
35,8c92d204-1eb4-11ea-aa32-000d3a38a36f,Android App,Android App,2019-10-19,2020-07-22,2020-07-22,2020-01-23,4.0,2,230.48,424.12,"[ERKEK, KADIN, AKTIFSPOR]",6.0,654.6,1143,1,654.6,2,3,1,6,Low-Value,Potential Loyalists,"[ERKEK, KADIN, AKTIFSPOR]"
36,de493b6c-a35b-11e9-a2fc-000d3a38a36f,Mobile,Mobile,2019-03-28,2020-11-15,2020-11-15,2019-03-28,1.0,1,39.99,189.99,[KADIN],2.0,229.98000000000002,1027,1,229.98000000000002,3,3,1,7,Low-Value,Potential Loyalists,[KADIN]
37,808005da-a511-11e9-a2fc-000d3a38a36f,Android App,Android App,2018-06-21,2020-10-29,2020-10-29,2019-11-16,6.0,2,268.97,1029.87,"[COCUK, KADIN]",8.0,1298.84,1044,1,1298.84,3,3,1,7,Low-Value,Potential Loyalists,"[COCUK, KADIN]"
38,acff824a-1dc3-11ea-8bf2-000d3a38a36f,Android App,Android App,2019-05-18,2020-11-28,2020-11-28,2019-02-11,3.0,3,249.97,329.97,"[ERKEK, KADIN]",6.0,579.94,1014,1,579.94,3,3,1,7,Low-Value,Potential Loyalists,"[ERKEK, KADIN]"
39,5261c16e-9c93-11ea-a27a-000d3a38a36f,Android App,Offline,2020-05-21,2020-06-30,2020-05-21,2020-06-30,1.0,1,220.48,335.98,"[KADIN, AKTIFSPOR]",2.0,556.46,1165,1,556.46,2,3,1,6,Low-Value,Potential Loyalists,"[KADIN, AKTIFSPOR]"
40,72b33428-f9a1-11ea-9564-000d3a38a36f,Android App,Android App,2020-09-18,2020-12-24,2020-12-24,2020-09-21,1.0,2,460.63,228.99,"[KADIN, AKTIFSPOR]",3.0,689.62,988,1,689.62,3,3,1,7,Low-Value,Potential Loyalists,"[KADIN, AKTIFSPOR]"
41,8b607a4a-abae-11e9-a2fc-000d3a38a36f,Android App,Android App,2018-01-14,2020-12-22,2020-12-22,2019-07-05,4.0,1,289.96,339.97,"[COCUK, KADIN]",5.0,629.9300000000001,990,1,629.9300000000001,3,3,1,7,Low-Value,Potential Loyalists,"[COCUK, KADIN]"
42,bd2305fe-6051-11ea-8dd8-000d3a38a36f,Mobile,Offline,2020-01-26,2021-02-17,2020-01-26,2021-02-17,1.0,1,219.87,167.99,"[KADIN, AKTIFSPOR]",2.0,387.86,933,1,387.86,3,3,1,7,Low-Value,Potential Loyalists,"[KADIN, AKTIFSPOR]"
43,804e7e88-18fd-11ea-9213-000d3a38a36f,Android App,Android App,2019-11-09,2021-05-21,2021-05-21,2019-10-20,8.0,2,169.98,1338.73,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]",10.0,1508.71,840,1,1508.71,4,3,1,8,Mid-Value,Potential Loyalists,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
44,215ed4a8-a595-11e9-a2fc-000d3a38a36f,Mobile,Offline,2019-02-21,2021-04-26,2019-02-21,2021-04-26,1.0,2,301.85,209.94,"[KADIN, AKTIFSPOR]",3.0,511.79,865,1,511.79,4,3,1,8,Mid-Value,Potential Loyalists,"[KADIN, AKTIFSPOR]"
45,63695372-a1c7-11e9-a2fc-000d3a38a36f,Mobile,Mobile,2019-02-27,2021-05-24,2021-05-24,2020-12-10,1.0,3,400.38,83.99,"[ERKEK, COCUK, KADIN]",4.0,484.37,837,1,484.37,4,3,1,8,Mid-Value,Potential Loyalists,"[ERKEK, COCUK, KADIN]"
46,552c4978-ace8-11e9-a2fc-000d3a38a36f,Mobile,Mobile,2019-02-14,2020-11-29,2020-11-29,2019-02-14,2.0,1,69.98,495.46,"[KADIN, AKTIFSPOR]",3.0,565.4399999999999,1013,1,565.4399999999999,3,3,1,7,Low-Value,Potential Loyalists,"[KADIN, AKTIFSPOR]"
47,ef770b48-e155-11e9-957d-000d3a38a36f,Mobile,Offline,2019-06-09,2020-07-20,2019-09-28,2020-07-20,1.0,4,279.95,115.0,"[KADIN, AKTIFSPOR]",5.0,394.95,1145,1,394.95,2,3,1,6,Low-Value,Potential Loyalists,"[KADIN, AKTIFSPOR]"
48,c51201f2-1155-11ea-8872-000d3a38a36f,Mobile,Mobile,2019-11-09,2021-03-21,2021-03-21,2019-08-11,3.0,2,239.96,309.95,"[KADIN, AKTIFSPOR]",5.0,549.91,901,1,549.91,4,3,1,8,Mid-Value,Potential Loyalists,"[KADIN, AKTIFSPOR]"
49,32756a80-b022-11e9-9757-000d3a38a36f,Mobile,Mobile,2019-02-23,2020-10-11,2020-10-11,2019-02-23,1.0,1,14.99,139.95,[KADIN],2.0,154.94,1062,1,154.94,2,3,1,6,Low-Value,Potential Loyalists,[KADIN]
50,71976318-2aa0-11eb-b280-000d3a38a36f,Android App,Offline,2020-10-13,2021-01-19,2020-11-19,2021-01-19,1.0,2,273.95,95.99,"[ERKEK, KADIN, AKTIFSPOR]",3.0,369.94,962,1,369.94,3,3,1,7,Low-Value,Potential Loyalists,"[ERKEK, KADIN, AKTIFSPOR]"
51,b0708360-9768-11ea-a9c8-000d3a38a36f,Android App,Offline,2020-08-05,2020-09-18,2020-10-05,2020-09-18,2.0,2,260.72,267.91,"[KADIN, AKTIFSPOR]",4.0,528.6300000000001,1085,1,528.6300000000001,2,3,1,6,Low-Value,Potential Loyalists,"[KADIN, AKTIFSPOR]"
52,5952b580-5b3b-11ea-8569-000d3a38a36f,Mobile,Mobile,2020-03-01,2021-05-24,2021-05-24,2020-06-24,1.0,2,139.46,160.99,[KADIN],3.0,300.45000000000005,837,1,300.45000000000005,4,3,1,8,Mid-Value,Potential Loyalists,[KADIN]
53,37753730-9b69-11ea-a27a-000d3a38a36f,Ios App,Ios App,2020-04-17,2021-04-03,2021-04-03,2020-09-20,7.0,1,67.44,2080.52,"[AKTIFCOCUK, COCUK, KADIN]",8.0,2147.96,888,1,2147.96,4,3,1,8,Mid-Value,Potential Loyalists,"[AKTIFCOCUK, COCUK, KADIN]"
54,8d58d24a-a792-11e9-a2fc-000d3a38a36f,Desktop,Offline,2015-03-22,2021-02-26,2015-03-22,2021-02-26,1.0,1,575.48,43.19,[KADIN],2.0,618.6700000000001,924,1,618.6700000000001,3,3,1,7,Low-Value,Potential Loyalists,[KADIN]
55,e3506ca0-a218-11e9-a2fc-000d3a38a36f,Android App,Offline,2019-06-03,2021-04-20,2020-05-18,2021-04-20,2.0,5,826.32,126.99,"[KADIN, AKTIFSPOR]",7.0,953.3100000000001,871,1,953.3100000000001,4,3,1,8,Mid-Value,Potential Loyalists,"[KADIN, AKTIFSPOR]"
56,b6305fbe-5b4f-11ea-bb88-000d3a38a36f,Desktop,Offline,2019-12-29,2020-09-08,2020-10-05,2020-09-08,2.0,3,492.96,370.28,[KADIN],5.0,863.24,1095,1,863.24,2,3,1,6,Low-Value,Potential Loyalists,[KADIN]
57,d3fea560-aced-11ea-b736-000d3a38a36f,Mobile,Offline,2020-12-06,2021-01-19,2020-12-06,2021-01-19,2.0,1,60.87,265.98,"[ERKEK, KADIN]",3.0,326.85,962,1,326.85,3,3,1,7,Low-Value,Potential Loyalists,"[ERKEK, KADIN]"
58,2b632570-4195-11ea-96d9-000d3a38a36f,Desktop,Desktop,2019-12-10,2021-04-04,2021-04-04,2019-12-10,2.0,1,49.99,344.95,[KADIN],3.0,394.94,887,1,394.94,4,3,1,8,Mid-Value,Potential Loyalists,[KADIN]
59,5c116b1a-5341-11ea-acd3-000d3a38a36f,Android App,Android App,2020-01-23,2020-12-21,2020-12-21,2020-01-23,2.0,1,140.73,104.98,[KADIN],3.0,245.70999999999998,991,1,245.70999999999998,3,3,1,7,Low-Value,Potential Loyalists,[KADIN]
60,de6b47a4-a065-11ea-9d0a-000d3a38a36f,Android App,Android App,2020-05-27,2021-05-22,2021-05-22,2021-07-04,7.0,1,305.98,996.92,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]",8.0,1302.9,839,1,1302.9,4,3,1,8,Mid-Value,Potential Loyalists,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]"
61,da229068-653b-11ea-bac7-000d3a38a36f,Ios App,Ios App,2020-03-13,2021-04-19,2021-04-19,2021-03-27,1.0,3,411.85,119.99,[KADIN],4.0,531.84,872,1,531.84,4,3,1,8,Mid-Value,Potential Loyalists,[KADIN]
62,737ef46a-18eb-11ea-9213-000d3a38a36f,Android App,Android App,2019-07-21,2020-06-12,2020-06-12,2019-07-21,2.0,1,39.99,362.86,"[ERKEK, COCUK, KADIN]",3.0,402.85,1183,1,402.85,2,3,1,6,Low-Value,Potential Loyalists,"[ERKEK, COCUK, KADIN]"
63,06ea4252-5b56-11ea-b15d-000d3a38a36f,Ios App,Ios App,2019-12-22,2020-11-27,2020-11-27,2019-12-22,1.0,1,60.49,212.98,"[ERKEK, KADIN]",2.0,273.46999999999997,1015,1,273.46999999999997,3,3,1,7,Low-Value,Potential Loyalists,"[ERKEK, KADIN]"
64,d285739a-a3b5-11e9-a2fc-000d3a38a36f,Ios App,Offline,2019-04-04,2021-05-01,2020-05-13,2021-05-01,1.0,4,704.85,311.98,"[ERKEK, KADIN]",5.0,1016.83,860,1,1016.83,4,3,1,8,Mid-Value,Potential Loyalists,"[ERKEK, KADIN]"
65,4bb06236-9eea-11ea-80cd-000d3a38a36f,Android App,Offline,2020-05-25,2021-04-20,2020-08-27,2021-04-20,6.0,3,285.47,795.93,"[ERKEK, KADIN, AKTIFSPOR]",9.0,1081.4,871,1,1081.4,4,3,1,8,Mid-Value,Potential Loyalists,"[ERKEK, KADIN, AKTIFSPOR]"
66,e6494e3a-5baf-11ea-9f92-000d3a38a36f,Mobile,Offline,2020-01-15,2020-12-11,2020-09-15,2020-12-11,1.0,4,568.45,240.47,"[ERKEK, KADIN]",5.0,808.9200000000001,1001,1,808.9200000000001,3,3,1,7,Low-Value,Potential Loyalists,"[ERKEK, KADIN]"
67,7c088fe8-f29d-11e9-9346-000d3a38a36f,Mobile,Mobile,2019-07-13,2021-04-22,2021-04-22,2020-08-11,1.0,5,729.94,219.98,"[AKTIFCOCUK, KADIN, AKTIFSPOR]",6.0,949.9200000000001,869,1,949.9200000000001,4,3,1,8,Mid-Value,Potential Loyalists,"[AKTIFCOCUK, KADIN, AKTIFSPOR]"
68,6561d954-1a69-11ea-941b-000d3a38a36f,Mobile,Offline,2019-11-28,2020-12-16,2020-11-27,2020-12-16,1.0,2,394.97,425.91,"[KADIN, AKTIFSPOR]",3.0,820.8800000000001,996,1,820.8800000000001,3,3,1,7,Low-Value,Potential Loyalists,"[KADIN, AKTIFSPOR]"
69,aa396692-9ddb-11e9-9897-000d3a38a36f,Android App,Android App,2019-02-24,2021-03-26,2021-03-26,2019-01-12,1.0,3,469.93,147.99,[KADIN],4.0,617.9200000000001,896,1,617.9200000000001,4,3,1,8,Mid-Value,Potential Loyalists,[KADIN]
70,9f434f28-744a-11ea-92d0-000d3a38a36f,Desktop,Offline,2020-03-23,2021-03-24,2020-03-23,2021-03-24,1.0,1,90.98,71.99,[KADIN],2.0,162.97,898,1,162.97,4,3,1,8,Mid-Value,Potential Loyalists,[KADIN]
71,254ff53e-1335-11ea-a001-000d3a38a36f,Mobile,Mobile,2019-03-26,2020-10-18,2020-10-18,2019-03-26,3.0,1,69.99,1259.8,"[ERKEK, COCUK, KADIN]",4.0,1329.79,1055,1,1329.79,3,3,1,7,Low-Value,Potential Loyalists,"[ERKEK, COCUK, KADIN]"
72,409e63de-5bc9-11ea-82af-000d3a38a36f,Ios App,Ios App,2020-01-29,2021-05-18,2021-05-18,2020-01-31,8.5,4,362.21,1187.69,"[COCUK, KADIN, AKTIFSPOR]",12.5,1549.9,843,1,1549.9,4,3,1,8,Mid-Value,Potential Loyalists,"[COCUK, KADIN, AKTIFSPOR]"
73,abb2fb2e-6d2c-11eb-99c4-000d3a38a36f,Ios App,Ios App,2021-12-02,2021-04-25,2021-04-25,2021-12-02,1.0,1,109.87,107.98,"[COCUK, KADIN]",2.0,217.85000000000002,866,1,217.85000000000002,4,3,1,8,Mid-Value,Potential Loyalists,"[COCUK, KADIN]"
74,4a2035fc-edf3-11e9-9346-000d3a38a36f,Ios App,Ios App,2019-11-10,2021-03-15,2021-03-15,2019-11-10,1.0,1,129.99,143.99,[KADIN],2.0,273.98,907,1,273.98,4,3,1,8,Mid-Value,Potential Loyalists,[KADIN]
75,33be441a-b11d-11e9-9757-000d3a38a36f,Mobile,Mobile,2019-03-25,2021-05-20,2021-05-20,2021-02-26,5.0,3,310.84,942.05,[KADIN],8.0,1252.8899999999999,841,1,1252.8899999999999,4,3,1,8,Mid-Value,Potential Loyalists,[KADIN]
76,78cb634e-74b2-11eb-92cb-000d3a38a36f,Desktop,Offline,2020-11-07,2021-03-25,2021-02-21,2021-03-25,1.0,2,270.48,55.99,"[ERKEK, KADIN, AKTIFSPOR]",3.0,326.47,897,1,326.47,4,3,1,8,Mid-Value,Potential Loyalists,"[ERKEK, KADIN, AKTIFSPOR]"
77,6558393e-cf4b-11ea-a8f0-000d3a38a36f,Desktop,Desktop,2020-07-26,2020-12-31,2020-12-31,2020-08-16,1.0,2,677.4,179.99,"[KADIN, AKTIFSPOR]",3.0,857.39,981,1,857.39,3,3,1,7,Low-Value,Potential Loyalists,"[KADIN, AKTIFSPOR]"
78,0ec13106-5bb1-11ea-a359-000d3a38a36f,Android App,Mobile,2020-01-27,2021-05-25,2021-05-25,2020-01-27,5.0,1,105.47,905.04,"[KADIN, AKTIFSPOR]",6.0,1010.51,836,1,1010.51,4,3,1,8,Mid-Value,Potential Loyalists,"[KADIN, AKTIFSPOR]"
79,e0e663f6-a160-11e9-a2fc-000d3a38a36f,Android App,Offline,2019-02-21,2020-10-30,2020-06-22,2020-10-30,1.0,4,1189.37,279.97,"[KADIN, AKTIFSPOR]",5.0,1469.34,1043,1,1469.34,3,3,1,7,Low-Value,Potential Loyalists,"[KADIN, AKTIFSPOR]"
80,2749330a-ff21-11e9-a5e8-000d3a38a36f,Android App,Android App,2019-02-28,2021-05-05,2021-05-05,2020-12-09,4.0,4,429.94,419.38,"[COCUK, KADIN, AKTIFSPOR]",8.0,849.3199999999999,856,1,849.3199999999999,4,3,1,8,Mid-Value,Potential Loyalists,"[COCUK, KADIN, AKTIFSPOR]"
81,ce48d558-22d4-11ea-8523-000d3a38a36f,Android App,Android App,2019-07-10,2021-01-21,2021-01-21,2019-07-10,1.0,1,129.99,104.98,"[COCUK, KADIN]",2.0,234.97000000000003,960,1,234.97000000000003,3,3,1,7,Low-Value,Potential Loyalists,"[COCUK, KADIN]"
82,9856d854-b592-11ea-a78c-000d3a38a36f,Android App,Android App,2020-06-25,2020-06-29,2020-06-29,2020-06-25,1.0,1,29.99,280.94,"[COCUK, KADIN]",2.0,310.93,1166,1,310.93,2,3,1,6,Low-Value,Potential Loyalists,"[COCUK, KADIN]"
83,a30b93f8-a4fd-11e9-a2fc-000d3a38a36f,Android App,Android App,2019-06-24,2021-07-01,2021-07-01,2019-06-24,5.0,1,293.99,422.94,[KADIN],6.0,716.9300000000001,799,1,716.9300000000001,4,3,1,8,Mid-Value,Potential Loyalists,[KADIN]
84,4bd60b50-195f-11ea-b6a2-000d3a38a36f,Ios App,Ios App,2019-02-24,2021-03-31,2021-03-31,2019-07-09,5.0,2,184.96,785.29,"[ERKEK, KADIN, AKTIFSPOR]",7.0,970.25,891,1,970.25,4,3,1,8,Mid-Value,Potential Loyalists,"[ERKEK, KADIN, AKTIFSPOR]"
85,71579c58-b0d3-11e9-9757-000d3a38a36f,Android App,Android App,2019-12-04,2021-05-29,2021-05-29,2019-04-07,8.5,2,149.97,2043.84,"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]",10.5,2193.81,832,1,2193.81,4,3,1,8,Mid-Value,Potential Loyalists,"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]"
